,Business_Description,SD_Accept_reject
0,"company is engaged in providing system integrations, VS channel and is a global services delivery center. Main income is from Revenue from operations.",Reject
1,"Company is engaged in providing Research & Development to Dassault Systèmes and CATIA, SOLIDWORKS, DELMIA, ENOVIA and SIMULIA are some of the software products developed. it also provides services for developing applications.Main income is from Computer software. The company operates in two segments viz R&D services(89%) and software services(11%)[2016].",Reject
2,Company is engaged in providing computer related activities [for example maintenance of websites of other firms creation of multimedia presentations for other firms etc.] Main income is from BPO transaction services.  ,Reject
3,"Company is engaged in the business of developing and selling games, gaming software and providing related services. It provides online mobile and PC games. It also operates online gaming portals and mobile content publishing website. Main income is from software development.  ",Reject
4,"Company is engaged in providing cloud transformation and management platform that helps enterprises in managing public and private clouds, as well as in achieving a hybrid cloud strategy;an user life cycle management platform; a cloud framework that provides security, which surpasses stringent security regulations;  a life cycle management platform; and a cloud platform to manage security, compliance, and routine operations on cloud continuously with assisted auto remediation. main income is from project revenues.  ",Reject
5,"Company is engaged in providing engineering, procurement, construction, and facility management services. Main income is from Engineering services. The company operates in engineering services(89%) and others(11%)[2018].",Reject
6,"Company is engaged in providing manufacturing of electronic components such as transformer insulation boards and components, low voltage breakers and switches, and vacuum interrupters. Main income is from IT Services.  The company operates in three segments IT Services(41%), engineering services(31%), and global support business(28%)[2018].",Reject
7,"Company is engaged in providing e-governance software and solutions to Indian customers. It offers are e-Municipality software, Cyber Security, ERP for Government, Smart City Solution, Smart Water Management, SAP Practice, Accrual Based Double Entry Accounting, Tourism Portal, Online Building Plan Approval System and Tax Reforms Solution. main income is from IT services",Reject
8,The company is engaged in providing services of developing and manufacturing mechanical seals.  Main Income is from Job Completed & Billed,Reject
9,"Company is engaged in providing a revenue cycle management solution, provides medical billing and medical coding services in the United States.  It also serves revenue cycle management companies, coding companies, providers of other health care services, and academic medical centers. Main income is from Accounting and book keeping For Ites",Reject
10,"Company is engaged in providing services in Supply Chain Management space, covering Engineering, Sourcing, Compliance and Technology domains with a Global Delivery Model. Main Income is from e-business solutions. The company operates in E-Business & Related Services(86%) and Software Product Licensing, Services, & Related Activities(14%)[2016].",Reject
11,"company is engaged in providing in software development and marketing, research, and development of RISC-based microprocessors chips and physical IP.  Main Income is from software development. The company operates in two segments viz marketing support services(1%) and software development(99%)[2017].",Reject
12,"company is engaged in providing a suite of business solutions, including business and technology consulting, enterprise solutions, application maintenance and product support, infrastructure management and business process management. It provides consulting and product development services in the areas of engineering services and product research and development (R&D) services. It offers engineering services, including product design, reverse engineering, tool design, embedded software, technical publication, automation, test fixtures, sustenance engineering, and design and development.  Main Income is from CAD/CAM worstation and softwares.",Accept
13,"The company is engaged in providing computer processing and data preparation services. Main Income is from Data processing services.  The company operates in five segments viz marketing asset management(15%), healthcare(17%), property and casuality(13%), finance and accounting(24%), and other(29%)[2017].",Reject
14,"Company is engaged in providing a portfolio of secure application delivery, cloud services and security solutions.  Main Income is from services.",Reject
